Book,Chapter,# of words/chapter,Approx. reading time
Genesis,1,797,3 m
Genesis,2,632,3 m
Genesis,3,695,3 m
Genesis,4,632,3 m
Genesis,5,504,2 m
Genesis,6,579,2 m
Genesis,7,584,2 m
Genesis,8,586,2 m
Genesis,9,658,3 m
Genesis,10,495,2 m
Genesis,11,606,2 m
Genesis,12,536,2 m
Genesis,13,457,2 m
Genesis,14,606,2 m
Genesis,15,471,2 m
Genesis,16,412,2 m
Genesis,17,679,3 m
Genesis,18,867,3 m
Genesis,19,1108,4 m
Genesis,20,498,2 m
Genesis,21,774,3 m
Genesis,22,629,3 m
Genesis,23,539,2 m
Genesis,24,1816,7 m
Genesis,25,706,3 m
Genesis,26,889,4 m
Genesis,27,1262,5 m
Genesis,28,621,2 m
Genesis,29,830,3 m
Genesis,30,1022,4 m
Genesis,31,1417,6 m
Genesis,32,794,3 m
Genesis,33,508,2 m
Genesis,34,790,3 m
Genesis,35,664,3 m
Genesis,36,845,3 m
Genesis,37,942,4 m
Genesis,38,819,3 m
Genesis,39,666,3 m
Genesis,40,580,2 m
Genesis,41,1404,6 m
Genesis,42,977,4 m
Genesis,43,938,4 m
Genesis,44,874,4 m
Genesis,45,731,3 m
Genesis,46,766,3 m
Genesis,47,965,4 m
Genesis,48,639,3 m
Genesis,49,766,3 m
Genesis,50,687,3 m
Exodus,1,457,2 m
Exodus,2,657,3 m
Exodus,3,791,3 m
Exodus,4,891,4 m
Exodus,5,594,2 m
Exodus,6,753,3 m
Exodus,7,692,3 m
Exodus,8,936,4 m
Exodus,9,982,4 m
Exodus,10,899,4 m
Exodus,11,324,1 m
Exodus,12,1493,6 m
Exodus,13,675,3 m
Exodus,14,931,4 m
Exodus,15,713,3 m
Exodus,16,1062,4 m
Exodus,17,465,2 m
Exodus,18,760,3 m
Exodus,19,702,3 m
Exodus,20,561,2 m
Exodus,21,893,4 m
Exodus,22,790,3 m
Exodus,23,827,3 m
Exodus,24,492,2 m
Exodus,25,926,4 m
Exodus,26,937,4 m
Exodus,27,558,2 m
Exodus,28,1235,5 m
Exodus,29,1341,5 m
Exodus,30,970,4 m
Exodus,31,438,2 m
Exodus,32,1093,4 m
Exodus,33,710,3 m
Exodus,34,1004,4 m
Exodus,35,820,3 m
Exodus,36,892,4 m
Exodus,37,738,3 m
Exodus,38,801,3 m
Exodus,39,1030,4 m
Exodus,40,821,3 m
Leviticus,1,525,2 m
Leviticus,2,486,2 m
Leviticus,3,511,2 m
Leviticus,4,1157,5 m
Leviticus,5,723,3 m
Leviticus,6,892,4 m
Leviticus,7,1056,4 m
Leviticus,8,988,4 m
Leviticus,9,624,3 m
Leviticus,10,628,3 m
Leviticus,11,1115,4 m
Leviticus,12,262,1 m
Leviticus,13,1857,7 m
Leviticus,14,1713,7 m
Leviticus,15,919,4 m
Leviticus,16,1157,5 m
Leviticus,17,553,2 m
Leviticus,18,667,3 m
Leviticus,19,898,4 m
Leviticus,20,836,3 m
Leviticus,21,587,2 m
Leviticus,22,879,4 m
Leviticus,23,1222,5 m
Leviticus,24,551,2 m
Leviticus,25,1532,6 m
Leviticus,26,1247,5 m
Leviticus,27,956,4 m
Numbers,1,1333,5 m
Numbers,2,791,3 m
Numbers,3,1291,5 m
Numbers,4,1416,6 m
Numbers,5,898,4 m
Numbers,6,742,3 m
Numbers,7,1939,8 m
Numbers,8,656,3 m
Numbers,9,722,3 m
Numbers,10,891,4 m
Numbers,11,1056,4 m
Numbers,12,384,2 m
Numbers,13,741,3 m
Numbers,14,1181,5 m
Numbers,15,1068,4 m
Numbers,16,1341,5 m
Numbers,17,335,1 m
Numbers,18,1112,4 m
Numbers,19,683,3 m
Numbers,20,792,3 m
Numbers,21,931,4 m
Numbers,22,1201,5 m
Numbers,23,743,3 m
