Book	Chapter	# of words/chapter	Approx. reading time (mins)
Genesis	1	797	4
Genesis	2	632	3
Genesis	3	695	3
Genesis	4	632	3
Genesis	5	504	3
Genesis	6	579	3
Genesis	7	584	3
Genesis	8	586	3
Genesis	9	658	3
Genesis	10	495	2
Genesis	11	606	3
Genesis	12	536	3
Genesis	13	457	2
Genesis	14	606	3
Genesis	15	471	2
Genesis	16	412	2
Genesis	17	679	3
Genesis	18	867	4
Genesis	19	1108	6
Genesis	20	498	2
Genesis	21	774	4
Genesis	22	629	3
Genesis	23	539	3
Genesis	24	1816	9
Genesis	25	706	4
Genesis	26	889	4
Genesis	27	1262	6
Genesis	28	621	3
Genesis	29	830	4
Genesis	30	1022	5
Genesis	31	1417	7
Genesis	32	794	4
Genesis	33	508	3
Genesis	34	790	4
Genesis	35	664	3
Genesis	36	845	4
Genesis	37	942	5
Genesis	38	819	4
Genesis	39	666	3
Genesis	40	580	3
Genesis	41	1404	7
Genesis	42	977	5
Genesis	43	938	5
Genesis	44	874	4
Genesis	45	731	4
Genesis	46	766	4
Genesis	47	965	5
Genesis	48	639	3
Genesis	49	766	4
Genesis	50	687	3
Exodus	1	457	2
Exodus	2	657	3
Exodus	3	791	4
Exodus	4	891	4
Exodus	5	594	3
Exodus	6	753	4
Exodus	7	692	3
Exodus	8	936	5
Exodus	9	982	5
Exodus	10	899	5
Exodus	11	324	2
Exodus	12	1493	7
Exodus	13	675	3
Exodus	14	931	5
Exodus	15	713	4
Exodus	16	1062	5
Exodus	17	465	2
Exodus	18	760	4
Exodus	19	702	4
Exodus	20	561	3
Exodus	21	893	4
Exodus	22	790	4
Exodus	23	827	4
Exodus	24	492	2
Exodus	25	926	5
Exodus	26	937	5
Exodus	27	558	3
Exodus	28	1235	6
Exodus	29	1341	7
Exodus	30	970	5
Exodus	31	438	2
Exodus	32	1093	5
Exodus	33	710	4
Exodus	34	1004	5
Exodus	35	820	4
Exodus	36	892	4
Exodus	37	738	4
Exodus	38	801	4
Exodus	39	1030	5
Exodus	40	821	4
Leviticus	1	525	3
Leviticus	2	486	2
Leviticus	3	511	3
Leviticus	4	1157	6
Leviticus	5	723	4
Leviticus	6	892	4
Leviticus	7	1056	5
Leviticus	8	988	5
Leviticus	9	624	3
Leviticus	10	628	3
Leviticus	11	1115	6
Leviticus	12	262	1
